candidato, hombres , mujeres ,provincia
patricio zuquilanda duque,51,51,america latina caribe africa
ivan espinel molina,63,63,america latina caribe africa
cynthia viteri jimenez,786,786,america latina caribe africa
abdala bucaram,148,148,america latina caribe africa
paco moncayo gallegos,311,311,america latina caribe africa
washington pesantez munoz,39,39,america latina caribe africa
guillermo lasso,1847,1847,america latina caribe africa
lenin moreno garcia,2536,2536,america latina caribe africa
blanks,180,180,america latina caribe africa
nulls,425,425,america latina caribe africa
patricio zuquilanda duque,1565,1565,azuay
ivan espinel molina,7737,7737,azuay
cynthia viteri jimenez,12590,12590,azuay
abdala bucaram,3922,3922,azuay
paco moncayo gallegos,21101,21101,azuay
washington pesantez munoz,1511,1511,azuay
guillermo lasso,71902,71902,azuay
lenin moreno garcia,89284,89284,azuay
blanks,4701,4701,azuay
nulls,1351,1351,azuay
patricio zuquilanda duque,1122,1122,bolivar
ivan espinel molina,1274,1274,bolivar
cynthia viteri jimenez,6769,6769,bolivar
abdala bucaram,1098,1098,bolivar
paco moncayo gallegos,5579,5579,bolivar
washington pesantez munoz,744,744,bolivar
guillermo lasso,27476,27476,bolivar
lenin moreno garcia,14582,14582,bolivar
blanks,2618,2618,bolivar
nulls,6426,6426,bolivar
patricio zuquilanda duque,594,594,canar
ivan espinel molina,1807,1807,canar
cynthia viteri jimenez,9425,9425,canar
abdala bucaram,1843,1843,canar
paco moncayo gallegos,6638,6638,canar
washington pesantez munoz,415,415,canar
guillermo lasso,19107,19107,canar
lenin moreno garcia,21411,21411,canar
blanks,2017,2017,canar
nulls,4765,4765,canar
patricio zuquilanda duque,356,356,carchi
ivan espinel molina,1659,1659,carchi
cynthia viteri jimenez,9060,9060,carchi
abdala bucaram,1142,1142,carchi
paco moncayo gallegos,5989,5989,carchi
washington pesantez munoz,417,417,carchi
guillermo lasso,15605,15605,carchi
lenin moreno garcia,21430,21430,carchi
blanks,134,134,carchi
nulls,3373,3373,carchi
patricio zuquilanda duque,1643,1643,chimborazo
ivan espinel molina,3786,3786,chimborazo
cynthia viteri jimenez,13804,13804,chimborazo
abdala bucaram,2476,2476,chimborazo
paco moncayo gallegos,12822,12822,chimborazo
washington pesantez munoz,4330,4330,chimborazo
guillermo lasso,61603,61603,chimborazo
lenin moreno garcia,39128,39128,chimborazo
blanks,4263,4263,chimborazo
nulls,11663,11663,chimborazo
patricio zuquilanda duque,1554,1554,cotopaxi
ivan espinel molina,3930,3930,cotopaxi
cynthia viteri jimenez,10654,10654,cotopaxi
abdala bucaram,2341,2341,cotopaxi
paco moncayo gallegos,25846,25846,cotopaxi
washington pesantez munoz,1477,1477,cotopaxi
guillermo lasso,45604,45604,cotopaxi
lenin moreno garcia,39507,39507,cotopaxi
blanks,4321,4321,cotopaxi
nulls,11899,11899,cotopaxi
patricio zuquilanda duque,131,131,eeuu canada
ivan espinel molina,310,310,eeuu canada
cynthia viteri jimenez,2560,2560,eeuu canada
abdala bucaram,569,569,eeuu canada
paco moncayo gallegos,1410,1410,eeuu canada
washington pesantez munoz,140,140,eeuu canada
guillermo lasso,4320,4320,eeuu canada
lenin moreno garcia,6979,6979,eeuu canada
blanks,255,255,eeuu canada
nulls,773,773,eeuu canada
patricio zuquilanda duque,849,849,el oro
ivan espinel molina,5450,5450,el oro
cynthia viteri jimenez,33434,33434,el oro
abdala bucaram,11510,11510,el oro
paco moncayo gallegos,6542,6542,el oro
washington pesantez munoz,940,940,el oro
guillermo lasso,58099,58099,el oro
lenin moreno garcia,85671,85671,el oro
blanks,4667,4667,el oro
nulls,1216,1216,el oro
patricio zuquilanda duque,808,808,esmeraldas
ivan espinel molina,2103,2103,esmeraldas
cynthia viteri jimenez,17947,17947,esmeraldas
abdala bucaram,6846,6846,esmeraldas
paco moncayo gallegos,8843,8843,esmeraldas
washington pesantez munoz,864,864,esmeraldas
guillermo lasso,40586,40586,esmeraldas
lenin moreno garcia,52041,52041,esmeraldas
blanks,7209,7209,esmeraldas
nulls,16632,16632,esmeraldas
patricio zuquilanda duque,358,358,europa asia oceania
ivan espinel molina,794,794,europa asia oceania
cynthia viteri jimenez,6302,6302,europa asia oceania
abdala bucaram,1990,1990,europa asia oceania
paco moncayo gallegos,3116,3116,europa asia oceania
washington pesantez munoz,349,349,europa asia oceania
guillermo lasso,4694,4694,europa asia oceania
lenin moreno garcia,14845,14845,europa asia oceania
blanks,1453,1453,europa asia oceania
nulls,3488,3488,europa asia oceania
patricio zuquilanda duque,30,30,galapagos
ivan espinel molina,162,162,galapagos
cynthia viteri jimenez,944,944,galapagos
abdala bucaram,155,155,galapagos
paco moncayo gallegos,282,282,galapagos
washington pesantez munoz,34,34,galapagos
guillermo lasso,3530,3530,galapagos
lenin moreno garcia,2630,2630,galapagos
blanks,88,88,galapagos
nulls,295,295,galapagos
patricio zuquilanda duque,7904,7904,guayas
ivan espinel molina,32342,32342,guayas
cynthia viteri jimenez,263287,263287,guayas
abdala bucaram,80480,80480,guayas
paco moncayo gallegos,26487,26487,guayas
washington pesantez munoz,5898,5898,guayas
guillermo lasso,256049,256049,guayas
lenin moreno garcia,463326,463326,guayas
blanks,35731,35731,guayas
nulls,78945,78945,guayas
patricio zuquilanda duque,939,939,imbabura
ivan espinel molina,5193,5193,imbabura
cynthia viteri jimenez,14417,14417,imbabura
abdala bucaram,2329,2329,imbabura
paco moncayo gallegos,14977,14977,imbabura
washington pesantez munoz,1006,1006,imbabura
guillermo lasso,36305,36305,imbabura
lenin moreno garcia,55842,55842,imbabura
blanks,4014,4014,imbabura
nulls,10563,10563,imbabura
patricio zuquilanda duque,1203,1203,loja
ivan espinel molina,3049,3049,loja
cynthia viteri jimenez,11956,11956,loja
abdala bucaram,2527,2527,loja
paco moncayo gallegos,12932,12932,loja
washington pesantez munoz,916,916,loja
guillermo lasso,60785,60785,loja
lenin moreno garcia,45782,45782,loja
blanks,4305,4305,loja
nulls,7731,7731,loja
patricio zuquilanda duque,3259,3259,los rios
ivan espinel molina,6295,6295,los rios
cynthia viteri jimenez,44952,44952,los rios
abdala bucaram,18533,18533,los rios
paco moncayo gallegos,6872,6872,los rios
washington pesantez munoz,1744,1744,los rios
guillermo lasso,53932,53932,los rios
lenin moreno garcia,105114,105114,los rios
blanks,15427,15427,los rios
nulls,25708,25708,los rios
patricio zuquilanda duque,2946,2946,manabi
ivan espinel molina,21361,21361,manabi
cynthia viteri jimenez,42006,42006,manabi
abdala bucaram,30742,30742,manabi
paco moncayo gallegos,21056,21056,manabi
washington pesantez munoz,2952,2952,manabi
guillermo lasso,89528,89528,manabi
lenin moreno garcia,232743,232743,manabi
blanks,27995,27995,manabi
nulls,45642,45642,manabi
patricio zuquilanda duque,412,412,morona santiago
ivan espinel molina,506,506,morona santiago
cynthia viteri jimenez,1940,1940,morona santiago
abdala bucaram,401,401,morona santiago
paco moncayo gallegos,3103,3103,morona santiago
washington pesantez munoz,186,186,morona santiago
guillermo lasso,23582,23582,morona santiago
lenin moreno garcia,11877,11877,morona santiago
blanks,121,121,morona santiago
nulls,3088,3088,morona santiago
patricio zuquilanda duque,1313,1313,napo
ivan espinel molina,393,393,napo
cynthia viteri jimenez,1707,1707,napo
abdala bucaram,348,348,napo
paco moncayo gallegos,2118,2118,napo
washington pesantez munoz,160,160,napo
guillermo lasso,19143,19143,napo
lenin moreno garcia,8200,8200,napo
blanks,484,484,napo
nulls,2135,2135,napo
patricio zuquilanda duque,633,633,orellana
ivan espinel molina,623,623,orellana
cynthia viteri jimenez,2955,2955,orellana
abdala bucaram,1100,1100,orellana
paco moncayo gallegos,5395,5395,orellana
washington pesantez munoz,222,222,orellana
guillermo lasso,18001,18001,orellana
lenin moreno garcia,15459,15459,orellana
blanks,1381,1381,orellana
nulls,3954,3954,orellana
patricio zuquilanda duque,201,201,pastaza
ivan espinel molina,566,566,pastaza
cynthia viteri jimenez,2255,2255,pastaza
abdala bucaram,344,344,pastaza
paco moncayo gallegos,2614,2614,pastaza
washington pesantez munoz,140,140,pastaza
guillermo lasso,13098,13098,pastaza
lenin moreno garcia,6804,6804,pastaza
blanks,524,524,pastaza
nulls,1727,1727,pastaza
patricio zuquilanda duque,5859,5859,pichincha
ivan espinel molina,31582,31582,pichincha
cynthia viteri jimenez,91278,91278,pichincha
abdala bucaram,12816,12816,pichincha
paco moncayo gallegos,96937,96937,pichincha
washington pesantez munoz,10051,10051,pichincha
guillermo lasso,284523,284523,pichincha
lenin moreno garcia,319868,319868,pichincha
blanks,9425,9425,pichincha
nulls,42015,42015,pichincha
patricio zuquilanda duque,475,475,sta elena
ivan espinel molina,4014,4014,sta elena
cynthia viteri jimenez,8818,8818,sta elena
abdala bucaram,6712,6712,sta elena
paco moncayo gallegos,2277,2277,sta elena
washington pesantez munoz,717,717,sta elena
guillermo lasso,29965,29965,sta elena
lenin moreno garcia,47346,47346,sta elena
blanks,3247,3247,sta elena
nulls,6411,6411,sta elena
blanks,4169,4169,sto dom tsachilas
nulls,11003,11003,sto dom tsachilas
patricio zuquilanda duque,1127,1127,sto domingo tsachilas
ivan espinel molina,6139,6139,sto domingo tsachilas
cynthia viteri jimenez,14585,14585,sto domingo tsachilas
abdala bucaram,7492,7492,sto domingo tsachilas
paco moncayo gallegos,6493,6493,sto domingo tsachilas
washington pesantez munoz,1073,1073,sto domingo tsachilas
guillermo lasso,44886,44886,sto domingo tsachilas
lenin moreno garcia,53450,53450,sto domingo tsachilas
patricio zuquilanda duque,2304,2304,sucumbios
ivan espinel molina,1225,1225,sucumbios
cynthia viteri jimenez,7022,7022,sucumbios
abdala bucaram,1246,1246,sucumbios
paco moncayo gallegos,4943,4943,sucumbios
washington pesantez munoz,333,333,sucumbios
guillermo lasso,16048,16048,sucumbios
lenin moreno garcia,20780,20780,sucumbios
blanks,1843,1843,sucumbios
nulls,4711,4711,sucumbios
patricio zuquilanda duque,5859,5859,tungurahua
ivan espinel molina,31582,31582,tungurahua
cynthia viteri jimenez,91278,91278,tungurahua
abdala bucaram,12816,12816,tungurahua
paco moncayo gallegos,96937,96937,tungurahua
washington pesantez munoz,10051,10051,tungurahua
guillermo lasso,284523,284523,tungurahua
lenin moreno garcia,319868,319868,tungurahua
blanks,2967,2967,tungurahua
nulls,10339,10339,tungurahua
patricio zuquilanda duque,200,200,zamora chinchipe
ivan espinel molina,355,355,zamora chinchipe
cynthia viteri jimenez,2892,2892,zamora chinchipe
abdala bucaram,322,322,zamora chinchipe
paco moncayo gallegos,2746,2746,zamora chinchipe
washington pesantez munoz,148,148,zamora chinchipe
guillermo lasso,14945,14945,zamora chinchipe
lenin moreno garcia,9035,9035,zamora chinchipe
blanks,732,732,zamora chinchipe
nulls,1349,1349,zamora chinchipe
